clase_original,texto_original,texto_etl,texto_corregido,id_clase
ok_equipo,"NORMAL


SVP: 
1005617
17296192
6855754
11849670
17516544
17296087",normal seguridad via publica, normal svp ,6
intrusion,FRAUDE,fraude, fraude,0
ok_equipo,"VERIF.COMPLETA 
SE VERIFICA MEDIDOR Y ACOMETIDA SE HACE MEDICIONES SIN ANOMALÍA. 
DEPARTAMENTO EN ALQUILERES",verifico completa verifico medidor acometida hace mediciones sin anomalia departamento alquileres, verifica completa se verifica medidor y acometida se hace mediciones sin anomalia departamento en alquileres,6
reparacion,Se cambia medidor se debería cambiar ramal pero no hay lugar de donde agarrar caño exterior se necesita agujerear pared y poner grampas mandar equipo con elementos adecuados ( ramal no entra en caja toma ),cambio medidor deberia cambiar ramal no lugar agarrar caño exterior necesita agujerear pared poner grampas mandar equipo con elementos adecuados ramal no entra caja toma, se cambia medidor se deberia cambiar ramal pero no hay lugar de donde agarrar caño exterior se necesita agujerear pared y poner grampas mandar equipo con elementos adecuados ramal no entra en caja toma ,1
seguridad,Verificación de funcionamiento normal y cambió de tapa y térmicaCambio de tapa y térmica,verificacion funcionamiento normal cambio tapa termicacambio tapa termica, verificacion de funcionamiento normal y cambio de tapa y termicacambio de tapa y termica,5
intrusion,Cliente rehabilitado,cliente rehabilitado, cliente rehabilitado,0
intrusion,"inspección  completa al medidor con estados 06001 02058 con carga de 0A se verifica derivación clandestina en acometida se instala caja antihurto.
se realizo inspección medidor linderoinspección  completa al medidor con estados 06001 02058 con carga de 0A se verifica derivación clandestina en acometida se instala caja antihurto .
se realizó inspección completa al medidor lindero.
se informó conexión directa desde línea d desde linea en",inspeccion completa medidor con estados con carga verifico derivacion clandestina acometida instala caja antihurto realizo inspeccion medidor linderoinspeccion completa medidor con estados con carga verifico derivacion clandestina acometida instala caja antihurto realizo inspeccion completa medidor lindero informo conexion directo desde linea desde linea, inspeccion completa al medidor con estados con carga de a se verifica derivacion clandestina en acometida se instala caja antihurto se realizo inspeccion medidor linderoinspeccion completa al medidor con estados con carga de a se verifica derivacion clandestina en acometida se instala caja antihurto se realizo inspeccion completa al medidor lindero se informo conexion directa desde linea d desde linea en,0
intrusion,R.FRAUDE.convecional.SE RETIRA CONECCION SE CBIA TAPASe coloca tapa,fraude convencional retira conexion cambio tapase coloca tapa, r fraude convencional se retira conexion se cambia tapase coloca tapa,0
ok_equipo,Sin anomalias,sin anomalia, sin anomalias,6
reparacion,Sé cambio medidor con el display apagado y se colocó tapa ciega,cambio medidor con display apagado coloco tapa ciega, se cambio medidor con el display apagado y se coloco tapa ciega,1
marketing,Se retira medidor.casa deshabitada,retira medidor casa deshabitada, se retira medidor casa deshabitada,2
intrusion,Cliente rehabilitado,cliente rehabilitado, cliente rehabilitado,0
intrusion,"M. Fraude convencional medidor manipulado
Verificación completa 
Nombre:Rojas.Móvil:515934 
Legajoayudante:515928",fraude convencional medidor manipulado verificacion completa legajoayudante, m fraude convencional medidor manipulado verificacion completa nombre rojas movil legajoayudante ,0
seguridad,Se verificó medidor monofasico normal sin anomalia.  Se cambió caja trampa y termicaTapa rota,verifico medidor monofasico normal sin anomalia cambio caja trampa termicatapa rota, se verifico medidor monofasico normal sin anomalia se cambio caja trampa y termicatapa rota,5
seguridad,Comentarios realizo en svpSe verifico medidor nro 7446414. Estado 84400. Prueba de potencia normal medidor normal. Acometida normal. Se cambio tapa recta monof. Termica. 1m c. Aisladora,comentarios realizo svpse verifico medidor numero estado prueba potencia normal medidor normal acometida normal cambio tapa rectangular monofasico termica aisladora, comentarios realizo en svpse verifico medidor numero estado prueba de potencia normal medidor normal acometida normal se cambio tapa rectangular monofasico termica m c aisladora,5
ok_equipo,"C/Tmed: (9817030, 6185884)
Medidor sin anomalías,  departamento desocupado.",tmed medidor sin anomalia departamento deshabitada, c tmed medidor sin anomalias departamento desocupado ,6
ok_equipo,Se realizó inspección completa. Se fijo medidor suelto. Se recoloco tapa recta chica,realizo inspeccion completa fijo medidor suelto recoloco tapa rectangular chica, se realizo inspeccion completa se fijo medidor suelto se recoloco tapa rectangular chica,6
ok_equipo,Sin anomalías. Local en alquiler,sin anomalia local alquiler, sin anomalias local en alquiler,6
ok_equipo,"Se verifica sin anomalías.  Se levanta ot para colocar caja trampa y realizar acometida monofásica para individualizar el medidor.
No se puede realizar en este momento porque esta la zona anegada por crecida.",verifico sin anomalia levanta ot colocar caja trampa realizar acometida monofasica individualizar medidor no puede realizar momento esta zona anegada crecida, se verifica sin anomalias se levanta ot para colocar caja trampa y realizar acometida monofasica para individualizar el medidor no se puede realizar en este momento porque esta la zona anegada por crecida ,6
intrusion,-ACT x SOT249se cambio med por falta de precintos de carcaza se ret fase a faseSe cambio med monof faltan precint carcaza y se ret fase afase,act sot cambio medidor falta precinto carcaza retira fase fase cambio medidor monofasico faltan precint carcaza retira fase fase, act por sot se cambio medidor por falta de precintos de carcaza se retira fase a fase se cambio medidor monofasico faltan precint carcaza y se retira fase a fase,0
seguridad,MEDIDOR NORMAL.SE CAMBIO TAPA.,medidor normal cambio tapa, medidor normal se cambio tapa ,5
reparacion,Se verificó medidor monofásico y se cambió por error mayor al admisible y obsoleto se colocó caja trampa y termicaSe verificó medidor monofásico y se cambió por error mayor al admisible y obsoleto se colocó caja trampa y termica,verifico medidor monofasico cambio error mayor admisible obsoleto coloco caja trampa termicase verifico medidor monofasico cambio error mayor admisible obsoleto coloco caja trampa termica, se verifico medidor monofasico y se cambio por error mayor al admisible y obsoleto se coloco caja trampa y termicase verifico medidor monofasico y se cambio por error mayor al admisible y obsoleto se coloco caja trampa y termica,1
intrusion,Se verif un fase a fase y sin precinto de carcasa. Se colocó caja anti hurto y térmica y se cambió medidor monofasico y se realizó visión ocular y se realizó acta,verifico fase fase sin precinto carcasa coloco caja anti hurto termica cambio medidor monofasico realizo vision ocular realizo acta, se verifica un fase a fase y sin precinto de carcasa se coloco caja anti hurto y termica y se cambio medidor monofasico y se realizo vision ocular y se realizo acta,0
ok_equipo,Se verifico medidor trifásico normal se detecta en la carnicería clandestino no se pudo cortar ya que salió empleados agresivo mandar custodia se adjunta fotos,verifico medidor trifasico normal detecta carniceria clandestina no pudo cortar ya salio empleados agresivo mandar custodia adjunta foto, se verifico medidor trifasico normal se detecta en la carniceria clandestino no se pudo cortar ya que salio empleados agresivo mandar custodia se adjunta fotos,6
reparacion,Se colocó tapa,coloco tapa, se coloco tapa,1
ok_equipo,No se encuentra fraude. Se cambió tapa,no encontro fraude cambio tapa, no se encuentra fraude se cambio tapa,6
intrusion,"-ACT x WO482435 se retira clandestino, se verifica cableado toma a med, normal, se realiza control in situ, normal , se cambia tapa y térmica.",act wo retira clandestina verifico cableado toma medidor normal realizo control interno sitio normal cambio tapa termica, act por wo se retira clandestino se verifica cableado toma a medidor normal se realiza control interno sitio normal se cambia tapa y termica ,0
intrusion,"Verificación 
Sé retiro conexión clandestina en.linea diracta se normalizo suministro se instalo tapa monofásicoInstalación de tapa monofásico",verificacion retiro conexion clandestina linea diracta normalizo suministro instalo tapa monofasicoinstalacion tapa monofasico, verificacion se retiro conexion clandestina en linea diracta se normalizo suministro se instalo tapa monofasicoinstalacion de tapa monofasico,0
reparacion,Cambio de medidor,cambio medidor, cambio de medidor,1
seguridad,Se reviso y adecuo medidor e instalación sin anomaliasSe cambió tapa de habitaculo,reviso adecuo medidor instalacion sin anomalia cambio tapa habitaculo, se reviso y adecuo medidor e instalacion sin anomalias se cambio tapa de habitaculo,5
ok_equipo,"Se realizo prueba de arranque y vacio. Se realizo prueba completa de funcionamiento T1 con carga propia, dando valores dentro de lo admisible ( -1,48).Se precinto. Se normalizo. Se adj. Foto.",realizo prueba arranque vacio realizo prueba completa funcionamiento con carga propia dando valores dentro admisible precinto normalizo adjunta foto, se realizo prueba de arranque y vacio se realizo prueba completa de funcionamiento t con carga propia dando valores dentro de lo admisible se precinto se normalizo se adjunta foto ,6
intrusion,Se encontró medidor con puente de excitacion flojos se normalizó medidor se adecuo habitáculo se realizo control insitu normal se cambio y sello tapa se confeccionó acta por fraude,encontro medidor con puente excitacion flojos normalizo medidor adecuo habitaculo realizo control sitio normal cambio sello tapa confecciono acta fraude, se encontro medidor con puente de excitacion flojos se normalizo medidor se adecuo habitaculo se realizo control en sitio normal se cambio y sello tapa se confecciono acta por fraude,0
ok_equipo,20' a que den acceso. Encargado de licencia. Suplente sin dias ni horarios fijos. Vecina 10 B dio acceso. Med prec. Parado. Pba de func ok.,den acceso encargado licencia suplente sin dias ni horarios fijos vecina dio acceso medidor precinto parado pba funcionando sin anomalia, a que den acceso encargado de licencia suplente sin dias ni horarios fijos vecina b dio acceso medidor precinto parado pba de funcionando sin anomalias ,6
intrusion,Derivacion clandestina,derivacion clandestina, derivacion clandestina,0
reparacion,"Se verificó medidor con problemas de constante, se cambió y normalizo",verifico medidor con problemas constante cambio normalizo, se verifico medidor con problemas de constante se cambio y normalizo,1
reparacion,Se cambio medidor monofásico,cambio medidor monofasico, se cambio medidor monofasico,1
reparacion,Se cambio med.con display rotoSe adecuó conexiones,cambio medidor con display rotose adecuo conexiones, se cambio medidor con display rotose adecuo conexiones,1
seguridad,M.normal.convencional.V SVP por sondeo de acometidaInstalación caja antihurto en caja metálica existente,normal convencional seguridad via publica sondeo acometidainstalacion caja antihurto caja metalica existente, m normal convencional v svp por sondeo de acometidainstalacion caja antihurto en caja metalica existente,5
intrusion,"Puente de fase 
Se retira fraude 
Se coloca caja antihurto 
Se sella habitáculo dejando bornera precintada  y todo normalizado",puente fase retira fraude coloca caja antihurto sella habitaculo dejando bornera precintada normalizado, puente de fase se retira fraude se coloca caja antihurto se sella habitaculo dejando bornera precintada y todo normalizado,0
ok_equipo,"Se verificó med perteneciente a un cartel de publicidad abandonado , se realizó inspección completa se comprobó el normal funcionamiento del medidor y estado de sus conexiones, se precinto y cbio tapa recta.",verifico medidor perteneciente cartel publicidad abandonado realizo inspeccion completa comprobo normal funcionamiento medidor estado conexiones precinto cambio tapa rectangular, se verifico medidor perteneciente a un cartel de publicidad abandonado se realizo inspeccion completa se comprobo el normal funcionamiento del medidor y estado de sus conexiones se precinto y cambio tapa rectangular ,6
ok_equipo,"El día 10/03/17 el medidor nro 1534322 fue retirado por OL101ATC, no se encontró conexión directa ni suministro de terceros",dia medidor numero fue retirado ol atc no encontro conexion directo ni suministro tercero, el dia el medidor numero fue retirado por ol atc no se encontro conexion directa ni suministro de terceros,6
intrusion,Se cambia medidor manipulado. Y se cierran todas las tapas de toma y habitáculo del gabinete,cambio medidor manipulado cierran todas tapas toma habitaculo gabinete, se cambia medidor manipulado y se cierran todas las tapas de toma y habitaculo del gabinete,0
seguridad,Se normaliza svp instalación de caja antihurto verificación de funcionamiento de medidorInstalación de caja antihurto y termica de 63amp,normalizo seguridad via publica instalacion caja antihurto verificacion funcionamiento medidorinstalacion caja antihurto termica amperes, se normaliza svp instalacion de caja antihurto verificacion de funcionamiento de medidorinstalacion de caja antihurto y termica de amperes,5
reparacion,Se realizo inspección completa de medidor numero 00532660 el mismo se encontro normal con poco uso comercial  se realizo cambio de tapas de habitaculo,realizo inspeccion completa medidor numero mismo encontro normal con poco uso comercial realizo cambio tapas habitaculo, se realizo inspeccion completa de medidor numero el mismo se encontro normal con poco uso comercial se realizo cambio de tapas de habitaculo,1
ok_equipo,Sin anomalia,sin anomalia, sin anomalia,6
ok_equipo,Se encontro normal,encontro normal, se encontro normal,6
ok_equipo,Se encontró medidor precintado se tomó y comparó cargas y tensiones se verificó coneccionados en toma y linderos sin anomalías fotos,encontro medidor precintado tomo comparo carga tensiones verifico conexionados toma linderos sin anomalia foto, se encontro medidor precintado se tomo y comparo cargas y tensiones se verifico conexionados en toma y linderos sin anomalias fotos,6
seguridad,Verificación completa. Cambio de tapa monofasica.,verificacion completa cambio tapa monofasica, verificacion completa cambio de tapa monofasica ,5
reparacion,Se realizo inspección completa de medidor numero 9595227 el mismo se encontro incendiado se realizo cambio se instala medidor HXE12 numero 17468138,realizo inspeccion completa medidor numero mismo encontro incendiado realizo cambio instala medidor hxe numero, se realizo inspeccion completa de medidor numero el mismo se encontro incendiado se realizo cambio se instala medidor hxe numero ,1
seguridad,Se verificó medidor funciona normal se colocó caja antihurto,verifico medidor funciona normal coloco caja antihurto, se verifico medidor funciona normal se coloco caja antihurto,5
ok_equipo,Med funcionando normal se cambió tapa y térmica de 40a,medidor funcionando normal cambio tapa termica, medidor funcionando normal se cambio tapa y termica de a,6
ok_equipo,Se verifica medidor monofásico sin anomalía no se registró conexión directa se cambia ramal deteriorado y tapa dejando suministro edenor normal,verifico medidor monofasico sin anomalia no registro conexion directo cambio ramal deteriorado tapa dejando suministro normal, se verifica medidor monofasico sin anomalia no se registro conexion directa se cambia ramal deteriorado y tapa dejando suministro edenor normal,6
seguridad,Caja antihurto,caja antihurto, caja antihurto,5
intrusion,Se verifico medidor con puente de excitacion caído.  Se normalizó y se realizo comparación de cargas,verifico medidor con puente excitacion caido normalizo realizo comparacion carga, se verifico medidor con puente de excitacion caido se normalizo y se realizo comparacion de cargas,0
seguridad,Tapa rota,tapa rota, tapa rota,5
intrusion,"M. Sin fraude convencional 
Verificación completa de t1 
Cambio de acometida s/cruce 
Verificación de error en medidor 
Instalación de caja der/izq de monoposte 
Se retiro directo del vecinoNormalizado",sin fraude convencional verificacion completa cambio acometida cruce verificacion error medidor instalacion caja der izquierda monoposte retiro directo vecinonormalizado, m sin fraude convencional verificacion completa de t cambio de acometida s cruce verificacion de error en medidor instalacion de caja der izquierda de monoposte se retiro directo del vecinonormalizado,0
ok_equipo,Sin anomalia,sin anomalia, sin anomalia,6
intrusion,Se retira clandestino en lindero sin medicion Pillado 5966.Tapas rotas.,retira clandestina lindero sin medicion pillado tapas rotas, se retira clandestino en lindero sin medicion pillado tapas rotas ,0
ok_equipo,NORMAL,normal, normal,6
seguridad,Caja-trampa,caja trampa, caja trampa,5
ok_equipo,Sin anomalias,sin anomalia, sin anomalias,6
ok_equipo,Verif completa sin anomalía se cambio tapa puntual,verifico completa sin anomalia cambio tapa puntual, verifica completa sin anomalia se cambio tapa puntual,6
intrusion,Se retiró conexión clandestina de habitáculo cambio de caja de monoposte,retiro conexion clandestina habitaculo cambio caja monoposte, se retiro conexion clandestina de habitaculo cambio de caja de monoposte,0
ok_equipo,Se readecuo habitáculo se revisó medidor monofasico se precinto se fijó y sello tapa en buen estado. Cliente manifestó medidor en desuso. Va a solicitar retiro.,readecuo habitaculo reviso medidor monofasico precinto fijo sello tapa buen estado cliente manifesto medidor desuso va solicitar retiro, se readecuo habitaculo se reviso medidor monofasico se precinto se fijo y sello tapa en buen estado cliente manifesto medidor en desuso va a solicitar retiro ,6
intrusion,Se encontró derivación clandestina en caño embutido. Se retiro conexión clandestina. Se colocó caño PVC externo. Se cbio caja antihurto. Se precinto.,encontro derivacion clandestina caño embutido retiro conexion clandestina coloco caño pvc externo cambio caja antihurto precinto, se encontro derivacion clandestina en caño embutido se retiro conexion clandestina se coloco caño pvc externo se cambio caja antihurto se precinto ,0
intrusion,"R.CON FRAUDE CONVENCIONAL
Se retira puente fase a fase y se normaliza se coloca caja antihurto",con fraude convencional retira puente fase fase normalizo coloca caja antihurto, r con fraude convencional se retira puente fase a fase y se normaliza se coloca caja antihurto,0
reparacion,"se cambio medidor por mal func en arranque, se cambio tapa, se verifica conexion clandestina lindera el cual no permiten el corte, casa habitada, coord -34.3958960, -58.6041850",cambio medidor mal funcionando arranque cambio tapa verifico conexion clandestina lindera no permite corte casa habitada coordenadas, se cambio medidor por mal funcionando en arranque se cambio tapa se verifica conexion clandestina lindera el cual no permiten el corte casa habitada coordenadas ,1
ok_equipo,Se realizó inspección completa medidor normal con todos sus precintos correspondientes se colocó Marco y tapa se verificó lindero por app,realizo inspeccion completa medidor normal con precinto correspondiente coloco marco tapa verifico lindero sin determinar, se realizo inspeccion completa medidor normal con todos sus precintos correspondientes se coloco marco y tapa se verifico lindero por app,6
reparacion,"B.SIN FRAUDE.CONVENCIONAL 
Se realizo verificación completa 
Se colocó caja antihurto",sin fraude convencional realizo verificacion completa coloco caja antihurto, b sin fraude convencional se realizo verificacion completa se coloco caja antihurto,1
intrusion,Se verifica medidor y acometida se encuentra medidor con puente de fase a fase se cambia medidor por obsoleto se coloca caja antifraude se deja normalizado,verifico medidor acometida encontro medidor con puente fase fase cambio medidor obsoleto coloca caja antifraude deja normalizado, se verifica medidor y acometida se encuentra medidor con puente de fase a fase se cambia medidor por obsoleto se coloca caja antifraude se deja normalizado,0
ok_equipo,Medidor sin suministro. Suministro suspendido por deuda.,medidor sin suministro suministro suspendido deuda, medidor sin suministro suministro suspendido por deuda ,6
ok_equipo,No se localiza direccion .se cambia tapa en medidor 11021359,no localiza direccion cambio tapa medidor, no se localiza direccion se cambia tapa en medidor ,6
ok_equipo,Medidor sin anomalía sin actividad vivienda vacía App,medidor sin anomalia sin actividad vivienda vacia sin determinar, medidor sin anomalia sin actividad vivienda vacia app,6
ok_equipo,En puntual se verif medidor trif con precinto correspondientes. Se Se verificó instalacion completa de medidor e instalacion. Se tomo tension y carga. No se encontraron anomalías,puntual verifico medidor trifasico con precinto correspondiente verifico instalacion completa medidor instalacion tomo tension carga no encontraron anomalia, en puntual se verifica medidor trifasico con precinto correspondientes se se verifico instalacion completa de medidor e instalacion se tomo tension y carga no se encontraron anomalias,6
intrusion,Se normalizo conexiones en habitáculo y se cambió tapa.,normalizo conexiones habitaculo cambio tapa, se normalizo conexiones en habitaculo y se cambio tapa ,0
ok_equipo,Verif completa de medidor. Normal.,verifico completa medidor normal, verifica completa de medidor normal ,6
reparacion,"cerradura rota . se cambi a medidor quemado , relac con ac de rehabilitacion",cerradura rota cambio medidor quemado relacion con sin determinar rehabilitacion, cerradura rota se cambio a medidor quemado relacion con ac de rehabilitacion,1
ok_equipo,NORMAL,normal, normal,6
seguridad,"EL MEDIDOR FUNCIONA BIEN, NEURTRO Y ACOMETIDA EL NORMAL ESTADO SE CAMBIO TAPA.",medidor funciona bien neurtro acometida normal estado cambio tapa, el medidor funciona bien neurtro y acometida el normal estado se cambio tapa ,5
seguridad,"Se encontró normal y se colocó caja izquierda derecha térmica y diyuntor, no sé colocó plomo por falta de tapa borneraCerradura rota",encontro normal coloco caja izquierda derecha termica disyuntor no coloco plomo falta tapa borneracerradura rota, se encontro normal y se coloco caja izquierda derecha termica y disyuntor no se coloco plomo por falta de tapa borneracerradura rota,5
intrusion,Tapa abierta.,tapa abierta, tapa abierta ,0
reparacion,"Se verifico medidor normal sin anomalías,.
Se cambio acometida en mal estado y se cambio caja monoposte por SVPse instalo caja monoposte",verifico medidor normal sin anomalia cambio acometida mal estado cambio caja monoposte svpse instalo caja monoposte, se verifico medidor normal sin anomalias se cambio acometida en mal estado y se cambio caja monoposte por svpse instalo caja monoposte,1
intrusion,CLIENTE REHABILITADO,cliente rehabilitado, cliente rehabilitado,0
ok_equipo,"Se verificó medidor con tapa rota. 
Moreno-Mazzucco",verifico medidor con tapa rota, se verifico medidor con tapa rota moreno mazzucco,6
reparacion,Sé encuentra medidor quemado...Se cambia medidor Con caja tranpa y térmica dejando normalizada la medición,encontro medidor quemado cambio medidor con caja tranpa termica dejando normalizado medicion, se encuentra medidor quemado se cambia medidor con caja tranpa y termica dejando normalizada la medicion,1
ok_equipo,Se rehabilitó medidor. Se cambió tapa y térmica.,rehabilito medidor cambio tapa termica, se rehabilito medidor se cambio tapa y termica ,6
ok_equipo,"Medidor sin anomalías, dpto eléctrico, calefon, anafe microondas, etc.",medidor sin anomalia departamento electrico calefon anafe microondas etc, medidor sin anomalias departamento electrico calefon anafe microondas etc ,6
reparacion,Se cambio med monof quemado se coloco tapa y ter monof ....mandar a cambiar monoposte de madera podrido en base,cambio medidor monofasico quemado coloco tapa termomagnetica monofasico mandar cambiar monoposte madera podrido base, se cambio medidor monofasico quemado se coloco tapa y termomagnetica monofasico mandar a cambiar monoposte de madera podrido en base,1
ok_equipo,Se verifico normal . Casa cerrada en obra sin techo. Tablero general sin ramales de salida hacia propiedad,verifico normal casa cerrada obra sin techo tablero general sin ramales salida hacia propiedad, se verifico normal casa cerrada en obra sin techo tablero general sin ramales de salida hacia propiedad,6
marketing,M.SIN FRAUDE CONVENCIONAL SE ENCUENTRA MEDIDOR SE REALIZA VERIFICACIÓN COMPLETA MEDIDOR NORMAL CON POCO CONSUMO DEPARTAMENTO DESOCUPADO,sin fraude convencional encontro medidor realizo verificacion completa medidor normal con poco consumo departamento deshabitada, m sin fraude convencional se encuentra medidor se realiza verificacion completa medidor normal con poco consumo departamento desocupado,2
ok_equipo,"Se encontró medidor sin consumo con comercio cerrado, se realizo verificación completa y no se hallo anomalia alguna, se precinta y cambia tapa.",encontro medidor sin consumo con comercio cerrado realizo verificacion completa no hallo anomalia alguna precinta cambio tapa, se encontro medidor sin consumo con comercio cerrado se realizo verificacion completa y no se hallo anomalia alguna se precinta y cambia tapa ,6
ok_equipo,NORMAL,normal, normal,6
seguridad,Falla en sistema. Se verifico medidor y acometida sin anomalías. Se colocó caja antihurto.,falla sistema verifico medidor acometida sin anomalia coloco caja antihurto, falla en sistema se verifico medidor y acometida sin anomalias se coloco caja antihurto ,5
ok_equipo,"se encontró  medidor trifasico con termica rota.se verifico instalacion y carga a medidor sin anomalías, se cambio tapa y termica",encontro medidor trifasico con termica rota verifico instalacion carga medidor sin anomalia cambio tapa termica, se encontro medidor trifasico con termica rota se verifico instalacion y carga a medidor sin anomalias se cambio tapa y termica,6
seguridad,Se realiza inspección completa se observa medidor sin anomalias.Medidor sin anomalias se colocó caja anti hurto,realizo inspeccion completa observa medidor sin anomalia medidor sin anomalia coloco caja anti hurto, se realiza inspeccion completa se observa medidor sin anomalias medidor sin anomalias se coloco caja anti hurto,5
marketing,Se retira medidor fuera de sistema.,retira medidor fuera sistema, se retira medidor fuera de sistema ,2
ok_equipo,No tiene Pilar. Vivienda en directo. No se corta por aislamiento social.,no tiene pilar vivienda directo no corta aislamiento social, no tiene pilar vivienda en directo no se corta por aislamiento social ,6
seguridad,"Hoja dime. Fotos. Se veirf med precintado y sin carga, según adm se encuentra vacío. Se verif vidrio frente suelto, se cambia por svp por el n17534808.Se cambio medidor por vidrio de frente del medidor suelto",hoja dime foto veirf medidor precintado sin carga segun admisible encontro vacio verifico vidrio frente suelto cambio seguridad via publica cambio medidor vidrio frente medidor suelto, hoja dime fotos se veirf medidor precintado y sin carga segun admisible se encuentra vacio se verifica vidrio frente suelto se cambia por svp por el n se cambio medidor por vidrio de frente del medidor suelto,5
reparacion,"Hoja dime. Fotos. Se verif med precintado, con carga 2,0amp y disco integrando de a saltos, se aplicó carga propia y hace lo mismo. Se cambio por n17575959-550. Se verif lind 2199148 sin tapa bornera.",hoja dime foto verifico medidor precintado con carga amperes disco integrando saltos aplico carga propia hace mismo cambio verifico lind sin tapa bornera, hoja dime fotos se verifica medidor precintado con carga amperes y disco integrando de a saltos se aplico carga propia y hace lo mismo se cambio por n se verifica lind sin tapa bornera ,1
intrusion,"Se realiza inspección completa. Se cambia medidor quemado. Se coloca caja trampa, term y cable. Deriv conect a la carga del med. Se labra acta. Se adj fot.",realizo inspeccion completa cambio medidor quemado coloca caja trampa termomagnetica cable derivacion conect carga medidor labra acta adjunta foto, se realiza inspeccion completa se cambia medidor quemado se coloca caja trampa termomagnetica y cable derivacion conect a la carga del medidor se labra acta se adjunta foto ,0
intrusion,Tapa rota,tapa rota, tapa rota,0
ok_equipo,Normal,normal, normal,6
ok_equipo,No sé encontraron anomalias visibles.,no encontraron anomalia visibles, no se encontraron anomalias visibles ,6
seguridad,Se encontró medidor funcionando correctamente sin irregularidades y sin actividad al momento de la inspección en Lote 606. Se colocó tapa pvc.Tapa rota,encontro medidor funcionando correctamente sin irregularidades sin actividad momento inspeccion lote coloco tapa pvc tapa rota, se encontro medidor funcionando correctamente sin irregularidades y sin actividad al momento de la inspeccion en lote se coloco tapa pvc tapa rota,5
ok_equipo,Se encontró normal,encontro normal, se encontro normal,6
seguridad,Se llegó al lugar y se colocó caja antihurto y térmica el medidor se encontró sin precinto... y se realizó verificación in situ ... ma40ct..Tapa ilegible sin precinto,llego lugar coloco caja antihurto termica medidor encontro sin precinto realizo verificacion interno sitio ma ct tapa ilegible sin precinto, se llego al lugar y se coloco caja antihurto y termica el medidor se encontro sin precinto y se realizo verificacion interno sitio ma ct tapa ilegible sin precinto,5
ok_equipo,"Se realizó comparación c/carga propia, prueba de arranque y vacio. Sin anomalías",realizo comparacion carga propia prueba arranque vacio sin anomalia, se realizo comparacion c carga propia prueba de arranque y vacio sin anomalias,6
ok_equipo,Normal,normal, normal,6
ok_equipo,Edificio con sala de medidores incendiada. Están adecuando / reparando. Sin conexiones directas. Edificio sin alimentación.,edificio con sala medidor incendiada adecuando reparando sin conexiones directo edificio sin alimentacion, edificio con sala de medidores incendiada estan adecuando reparando sin conexiones directas edificio sin alimentacion ,6
intrusion,Fraude,fraude, fraude,0
ok_equipo,Medidor sin anomalia,medidor sin anomalia, medidor sin anomalia,6
ok_equipo,Se encontro normal,encontro normal, se encontro normal,6
ok_equipo,Domicilio sin encargado. Vecino permitió acceso. Sin anomalías,domicilio sin encargado vecino permitio acceso sin anomalia, domicilio sin encargado vecino permitio acceso sin anomalias,6
seguridad,Se verificaron medidores apagados con caño de bajada nuevo se colocó acometida mono sin cruze se adjunta fotos clientes quedan con suministro normal,verificaron medidor apagados con caño bajada nuevo coloco acometida mono sin cruce adjunta foto clientes quedan con suministro normal, se verificaron medidores apagados con caño de bajada nuevo se coloco acometida mono sin cruce se adjunta fotos clientes quedan con suministro normal,5
seguridad,Caja de chapa rota,caja chapa rota, caja de chapa rota,5
ok_equipo,Sin anomalías,sin anomalia, sin anomalias,6
ok_equipo,SE ENCONTRO NORMAL Y SE CAMBIO TAPA,encontro normal cambio tapa, se encontro normal y se cambio tapa,6
intrusion,Fase x fase,fase fase, fase por fase,0
ok_equipo,Se encontró normal,encontro normal, se encontro normal,6
intrusion,Se retiró conexión directa de línea.Cerradura rota,retiro conexion directo linea cerradura rota, se retiro conexion directa de linea cerradura rota,0
ok_equipo,Traspaso de acometida de medidor convencional al vuelo cliente con suministro se uso 3 precintos,traspaso acometida medidor convencional vuelo cliente con suministro uso precinto, traspaso de acometida de medidor convencional al vuelo cliente con suministro se uso precintos,6
ok_equipo,NORMAL,normal, normal,6
intrusion,Cerradura rota y acometida deficiente,cerradura rota acometida deficiente, cerradura rota y acometida deficiente,0
seguridad,Se verificó medi monof con funcionamiento normal no se observó fraude se cambió ramal monof entre toma y med y tapa fotos.se pide espontánea para cambiar medi lindero N 1099145 x carcasa rajada . Lindero 1 normalAcometida deficiente,verifico medidor monofasico con funcionamiento normal no observo fraude cambio ramal monofasico toma medidor tapa foto pide espontanea cambiar medidor lindero carcasa rajada lindero normalacometida deficiente, se verifico medidor monofasico con funcionamiento normal no se observo fraude se cambio ramal monofasico entre toma y medidor y tapa fotos se pide espontanea para cambiar medidor lindero n por carcasa rajada lindero normalacometida deficiente,5
ok_equipo,Se verifica y se cambia la tapa rectangular chica,verifico cambio tapa rectangular chica, se verifica y se cambia la tapa rectangular chica,6
ok_equipo,"se realizo inspección completa se encuentra normal,  se cambio tapa monofasica",realizo inspeccion completa encontro normal cambio tapa monofasica, se realizo inspeccion completa se encuentra normal se cambio tapa monofasica,6
ok_equipo,"Puentes bien,se colocó caloventor y el medidor integra. No se observan anomalias",puentes bien coloco caloventor medidor integra no observan anomalia, puentes bien se coloco caloventor y el medidor integra no se observan anomalias,6
seguridad,Medidor sin anomaliasMedidor sin anomalias,medidor sin anomalia medidor sin anomalia, medidor sin anomalias medidor sin anomalias,5
